CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
739,1,34,9,0.0,1,1,0,60584.33
695,0,39,5,0.0,2,0,0,102763.69
536,1,32,7,178011.5,2,1,0,22375.14
691,0,41,8,109153.96,3,1,1,148848.76
615,1,66,7,0.0,2,1,1,74580.8
448,0,36,6,83947.12,2,1,0,81999.53
588,0,34,10,129417.82,1,1,0,153727.32
607,1,38,3,98205.77,1,1,0,176318.27
605,0,43,8,125338.8,2,1,0,23970.13
585,0,34,1,0.0,1,1,1,75503.6
413,1,34,9,0.0,2,0,0,6534.18
566,1,54,4,118614.6,2,1,1,172601.62
639,1,28,8,0.0,2,1,0,126561.07
713,1,45,4,131038.14,1,1,0,74005.04
530,0,41,4,0.0,2,0,1,147606.71
675,1,32,8,197436.82,1,1,1,52710.7
572,0,35,1,139979.07,1,1,0,185662.84
825,1,34,9,0.0,2,1,1,31933.06
458,0,35,5,166492.48,1,1,0,135287.74
554,0,41,4,112152.89,1,0,1,36242.19
671,0,31,6,105864.6,2,1,0,145567.34
467,1,57,1,0.0,2,1,1,114448.77
642,1,35,2,133161.95,1,0,1,122254.86
485,0,30,5,156771.68,1,1,1,141148.21
833,1,37,8,151226.18,2,1,1,136129.49
802,0,41,4,90757.64,2,0,1,169183.66
810,1,32,9,120879.73,2,0,1,78896.59
850,1,22,3,0.0,1,1,1,144385.54
838,0,39,5,166733.92,2,1,0,14279.44
625,0,57,7,0.0,1,0,0,84106.17
587,1,33,5,100116.82,1,1,0,34215.58
629,1,39,5,0.0,2,0,0,116748.14
610,0,27,2,0.0,2,1,0,14546.76
451,1,33,6,0.0,2,1,0,184954.11
675,1,66,5,115654.47,2,1,1,131970.86
710,1,34,8,147833.3,2,0,1,1561.58
711,0,45,1,97486.15,2,1,0,50610.62
619,1,29,4,98955.87,1,0,1,131712.51
761,0,34,2,0.0,2,1,0,61251.25
433,1,34,9,152806.74,1,1,0,19687.99
552,1,29,10,0.0,2,1,0,12186.83
582,0,43,5,153313.67,1,0,0,170563.73
514,1,26,1,0.0,2,0,0,121551.93
630,1,37,6,0.0,2,1,1,82647.65
762,0,26,7,123709.46,2,1,1,169654.57
787,0,39,7,171646.76,1,0,1,100791.36
673,1,32,8,121240.76,1,1,0,116969.73
445,1,25,6,0.0,2,1,0,119425.94
642,0,40,7,0.0,2,1,0,10712.82
579,0,29,10,73194.52,2,1,1,129209.09
817,0,37,6,81070.34,2,1,0,80985.88
670,0,38,4,119624.54,2,1,1,110472.12
616,1,18,6,0.0,2,1,1,27308.58
515,1,37,2,90432.92,1,1,1,188366.04
627,0,32,1,0.0,1,1,0,106851.7
659,0,38,9,0.0,2,1,1,132809.18
850,0,45,2,122311.21,1,1,1,19482.5
404,0,54,4,125456.07,1,1,0,83715.66
696,0,31,8,122021.92,2,1,0,33828.64
668,0,32,10,92041.87,1,1,1,43595.9
716,0,29,6,0.0,2,1,1,98998.61
676,0,34,8,100359.54,1,0,0,46038.28
546,1,42,7,139070.51,1,1,1,86945.0
575,0,37,9,133292.45,1,1,0,111175.09
671,1,28,8,119859.52,2,1,0,125422.66
517,1,28,2,115062.61,1,1,0,179056.23
850,0,40,7,104449.8,1,1,1,747.88
685,0,21,6,97956.5,1,1,1,164966.27
698,1,36,6,0.0,2,0,1,19231.98
708,1,40,8,83015.71,1,1,0,101089.76
723,0,28,5,91938.31,1,1,0,143481.85
534,1,24,1,0.0,1,1,1,169653.32
659,0,32,9,0.0,2,1,1,93155.75
688,1,40,6,0.0,1,1,1,47886.44
677,0,35,0,0.0,2,0,0,76637.38
500,0,34,6,0.0,1,1,1,140268.45
652,1,30,2,176166.56,2,1,1,152210.81
744,1,56,9,0.0,2,1,1,169498.61
633,0,39,2,0.0,2,0,0,191207.03
588,0,42,2,164307.77,1,1,0,48498.19
705,0,37,10,0.0,2,1,1,13935.53
768,0,28,3,109118.05,2,0,1,50911.41
815,0,38,2,48387.0,1,1,0,184796.84
746,1,25,9,0.0,2,0,1,88728.47
727,1,28,1,0.0,1,1,0,40357.39
536,0,35,4,121520.36,1,0,0,77178.42
747,1,41,5,0.0,2,1,1,22750.17
678,1,28,5,138668.18,1,1,1,54144.01
560,1,24,1,116084.32,1,1,0,89734.7
607,1,31,8,0.0,2,1,1,43196.5
663,0,33,8,122528.18,1,1,0,196260.3
641,0,35,4,0.0,2,0,0,125986.18
642,1,30,8,134497.27,1,0,0,43250.54
731,0,41,9,152243.57,1,1,1,88783.59
655,0,35,1,82231.51,2,1,0,88798.02
700,0,44,2,58781.76,1,1,0,16874.92
576,0,36,8,166287.85,1,1,1,23305.85
751,0,34,8,127095.14,2,0,0,479.54
552,1,33,3,144962.74,1,1,0,58844.84
580,1,38,9,115442.19,2,1,0,128481.5
617,1,50,7,0.0,1,1,0,184839.7
657,1,42,5,41473.33,1,1,0,112979.6
570,0,30,10,176173.52,1,1,0,97045.32
845,0,43,3,152063.59,2,1,0,97910.06
496,0,59,7,91680.1,2,1,0,163141.18
609,1,31,9,103837.75,1,1,1,150218.11
760,1,42,0,77992.97,2,1,1,97906.38
809,1,24,7,109558.36,1,1,0,183515.13
426,1,34,9,0.0,2,1,0,107876.91
745,1,34,7,132944.53,1,1,1,31802.92
701,0,34,3,105588.66,1,0,1,74694.41
657,1,36,8,188241.05,2,0,0,183058.51
493,0,36,5,148667.81,2,1,0,56092.51
611,1,52,7,0.0,1,0,1,73585.18
776,0,32,4,109421.13,2,1,1,126517.46
588,1,37,2,0.0,2,0,1,187816.59
727,1,38,2,62276.99,1,1,1,59280.79
613,1,38,9,126265.88,2,0,0,15859.95
793,1,63,0,0.0,2,0,1,27166.75
681,0,44,3,105206.7,2,1,1,163558.36
687,1,48,4,0.0,2,1,1,170893.85
655,0,39,6,94631.26,2,1,1,148948.52
470,1,39,5,117469.91,2,0,0,63705.9
620,0,25,8,141825.88,1,1,1,73857.94
779,1,33,3,0.0,2,1,0,30804.68
778,0,34,7,109564.1,1,0,1,113046.81
669,1,51,3,88827.53,1,0,0,85250.77
768,1,29,2,95984.69,2,1,1,73686.75
651,0,34,9,0.0,2,1,0,138113.71
558,0,36,0,126606.63,2,1,1,172363.52
681,0,58,8,93173.88,1,1,1,139761.25
755,1,43,6,165048.5,3,1,0,16929.41
606,1,42,10,0.0,2,1,0,177938.52
683,0,73,8,137732.23,2,1,1,133210.44
744,0,50,1,121498.11,2,0,1,106061.47
630,1,55,2,0.0,1,1,1,106202.07
661,0,41,1,0.0,2,0,1,131300.68
636,0,37,9,157098.52,1,1,1,153535.27
692,0,34,4,109699.08,1,1,1,37898.91
631,1,33,2,0.0,2,1,1,158268.84
749,0,32,7,79523.13,1,0,1,157648.12
656,1,37,2,0.0,2,0,1,67840.81
563,0,39,5,0.0,2,1,1,17603.81
582,1,41,1,40488.76,1,1,0,128528.83
678,1,49,2,116933.11,1,1,0,195053.58
643,1,37,6,0.0,2,0,0,142454.77
358,0,52,8,143542.36,3,1,0,141959.11
464,0,34,5,76001.57,1,1,1,158668.87
507,1,33,7,0.0,2,1,1,85411.01
589,1,38,4,0.0,1,1,0,95483.48
554,0,43,2,120847.11,1,1,0,7611.61
607,0,33,8,91301.72,1,0,1,130824.57
522,0,37,3,95022.57,1,1,1,129107.59
568,1,51,4,0.0,3,1,1,66586.56
541,0,39,9,100116.67,1,1,1,199808.1
719,0,37,9,101455.7,1,1,0,25803.59
502,0,40,7,117304.29,1,0,0,196278.32
659,0,38,9,0.0,2,1,1,35701.06
850,1,38,1,0.0,2,1,1,80006.65
667,1,38,1,87202.38,1,1,1,77866.91
535,0,29,5,0.0,2,0,1,52709.55
551,1,35,7,129717.3,2,0,0,86937.2
820,0,29,3,82344.84,1,0,1,115985.38
684,0,39,4,139723.9,1,1,1,120612.11
557,1,36,1,113110.26,1,1,0,98413.1
609,1,38,6,140752.06,2,0,1,171430.16
505,1,26,8,112972.57,1,1,0,145011.62
777,1,44,3,124655.59,2,0,1,79792.3
607,0,24,2,109483.54,2,0,1,127560.77
649,0,32,7,0.0,1,1,0,28797.32
702,1,37,10,150525.8,1,1,1,94728.49
585,0,39,7,165610.41,2,0,0,131852.01
476,1,37,4,0.0,1,1,1,55775.84
536,0,41,9,0.0,1,1,0,121299.14
660,1,34,8,106486.66,2,0,1,182262.66
545,0,26,1,0.0,2,1,1,199638.56
586,1,27,5,130231.8,2,1,1,192427.16
667,1,28,6,165798.1,1,1,0,147090.9
653,1,35,6,116662.96,2,1,1,23864.21
686,1,38,7,111484.88,1,1,1,76076.2
521,1,35,6,96423.84,1,1,0,10488.44
730,0,35,0,155470.55,1,1,1,53718.28
519,1,38,1,114141.64,1,1,1,60988.21
728,1,42,8,0.0,2,0,1,41823.22
506,1,36,5,0.0,2,1,0,164253.35
600,1,30,2,119755.0,1,1,1,21852.91
412,1,29,5,0.0,2,0,0,12510.53
803,0,65,2,151659.52,2,0,1,6930.17
585,0,39,7,0.0,2,1,0,2401.26
591,1,29,6,0.0,2,1,1,108684.65
797,1,24,5,0.0,2,1,0,182257.61
606,1,37,8,154712.58,2,1,0,89099.18
579,0,45,2,0.0,2,0,0,11514.39
850,1,32,4,0.0,1,1,1,180622.02
506,0,32,3,0.0,1,1,1,80823.02
725,1,41,7,113980.21,1,1,1,116704.25
531,1,70,1,0.0,2,0,0,99503.19
715,0,38,5,118590.41,1,1,1,5684.17
675,1,42,2,92616.64,2,1,0,8567.18
583,0,38,10,0.0,2,0,1,113597.64
741,1,25,4,0.0,2,1,1,73873.65
546,0,74,8,114888.74,2,1,1,66732.63
565,0,47,10,139756.12,1,1,0,165849.49
681,1,46,0,105969.42,1,1,0,5771.56
518,1,40,4,0.0,2,0,1,194416.58
797,1,32,10,114084.6,1,0,1,125782.29
723,0,49,4,0.0,2,0,1,89972.25
684,1,29,8,127269.75,1,0,1,79495.01
478,0,32,6,71187.24,1,1,1,110593.62
784,0,42,2,109052.04,2,1,0,6409.55
521,1,52,5,116497.31,3,0,0,53793.1
850,1,34,6,0.0,1,0,1,52796.31
492,0,28,9,0.0,2,1,0,95957.09
686,1,38,0,138131.34,1,0,1,115927.85
732,0,67,1,0.0,2,1,1,177783.04
609,0,43,6,86053.52,2,1,1,113276.46
709,1,32,4,147307.91,1,0,1,40861.55
743,1,32,9,0.0,2,1,0,175252.78
642,1,48,9,118317.27,4,0,0,78702.98
594,0,29,3,130830.22,1,1,0,61048.53
594,0,31,9,0.0,1,0,1,5719.11
660,0,23,6,166070.48,2,0,0,90494.72
772,1,23,2,0.0,2,1,0,18364.19
833,1,47,2,0.0,2,1,1,182247.77
715,0,31,3,110581.29,1,1,1,94715.24
550,1,36,2,113877.23,2,1,0,174921.91
671,1,45,2,106376.85,1,0,1,158264.62
624,1,36,6,0.0,2,0,0,84635.64
525,1,51,10,0.0,3,1,0,171045.35
620,0,29,1,138740.24,2,0,0,154700.61
588,1,49,6,132623.76,3,1,0,36292.94
744,0,39,6,0.0,1,0,0,10662.58
758,0,40,5,93499.82,2,0,0,123218.81
754,0,39,8,129401.87,1,1,1,87684.93
649,1,33,2,0.0,2,1,0,2010.98
553,0,31,4,0.0,2,1,1,89087.4
651,1,35,0,181821.96,2,0,1,36923.67
605,0,57,2,0.0,3,1,0,66652.75
744,0,46,1,0.0,3,1,1,177431.59
531,0,42,6,88324.31,2,1,0,75248.75
695,0,31,5,0.0,2,0,1,13998.88
718,0,49,10,0.0,1,1,0,184474.72
672,1,43,5,0.0,1,0,0,63833.09
713,1,46,5,0.0,1,1,1,55701.62
642,1,25,7,0.0,2,1,0,102083.78
721,0,37,1,0.0,2,1,0,70810.8
574,1,36,3,0.0,2,1,1,8559.66
652,0,42,3,83492.07,2,1,0,37914.12
778,1,41,7,139706.31,1,1,0,63337.19
643,1,28,9,160858.13,2,1,0,27149.27
705,1,33,3,144427.96,2,1,0,113845.19
682,1,50,6,121818.84,2,0,1,124151.37
484,1,54,3,134388.11,1,0,0,49954.79
659,1,32,3,107594.11,2,1,1,102416.84
800,1,38,9,0.0,1,1,0,78744.39
632,1,60,2,0.0,2,0,1,2085.32
726,1,30,5,111375.32,2,1,0,2704.09
507,0,31,0,106942.08,1,0,1,44001.11
786,0,32,6,114512.59,1,1,0,15796.66
689,0,38,6,121021.05,1,1,1,12182.15
690,1,38,1,94456.0,2,0,1,55034.02
520,1,45,7,107023.03,1,1,0,32903.93
757,0,34,9,101861.36,2,0,0,187011.96
718,1,26,7,147527.03,1,0,0,51099.56
751,1,33,4,79281.61,1,1,0,117547.76
644,0,37,8,0.0,2,1,0,20968.88
479,1,48,5,87070.23,1,0,1,85646.41
656,1,43,7,134919.85,1,1,0,194691.95
731,1,33,1,0.0,1,1,0,130726.96
707,1,42,2,16893.59,1,1,1,77502.56
759,1,44,2,111095.58,2,1,0,100137.7
841,0,36,5,156021.31,1,0,0,122662.98
756,1,67,4,0.0,3,1,1,93081.87
491,0,57,4,112044.72,1,1,1,41229.73
609,1,33,6,94126.67,1,0,0,93718.16
777,0,32,2,0.0,1,1,0,136458.19
635,1,50,7,159453.64,2,0,0,54560.79
575,1,36,7,0.0,1,1,1,55868.97
641,1,77,9,0.0,3,1,1,81514.06
708,0,41,5,0.0,1,0,1,157003.99
519,1,39,1,97700.02,1,1,1,30709.03
604,0,47,4,118907.6,1,0,1,47777.15
641,1,41,6,0.0,2,1,0,65396.79
496,0,55,4,125292.53,1,1,1,31532.96
504,1,43,5,134740.19,2,1,0,181430.91
731,1,41,4,0.0,2,1,0,22299.27
697,1,30,1,0.0,2,0,0,735.79
547,1,30,6,0.0,2,1,1,18471.86
744,1,47,9,0.0,2,1,0,113163.17
712,1,24,2,0.0,1,0,1,121232.51
719,0,54,7,0.0,2,1,1,125041.52
473,0,25,6,110666.42,2,0,0,46758.42
688,0,39,0,0.0,2,1,0,53222.15
473,1,40,8,152576.25,2,1,0,73073.68
662,0,29,10,0.0,2,1,0,137508.31
460,1,46,4,127559.97,2,1,1,126952.5
721,1,40,6,100275.88,1,1,0,138564.48
616,1,31,3,94263.91,2,1,0,168895.06
543,0,32,7,147256.86,1,1,0,112771.95
486,1,62,9,118356.89,2,1,0,168034.83
612,1,32,3,121394.42,1,1,0,164081.42
474,0,37,5,142688.57,2,1,1,110953.33
648,1,33,5,138664.24,1,1,0,29076.27
621,1,41,5,104631.67,1,1,1,95551.22
633,0,39,9,129189.15,2,0,0,170998.83
727,0,57,1,109679.72,1,0,1,753.37
677,1,40,7,95312.8,1,1,1,62944.75
746,1,35,2,172274.01,1,1,0,22374.97
767,1,77,8,149083.7,1,1,1,190146.83
724,1,28,5,97612.12,1,1,1,96498.14
581,1,41,2,127913.71,2,1,1,44205.95
740,1,40,4,114318.78,2,1,0,129333.69
562,1,31,4,127237.25,2,0,1,143317.42
717,0,49,1,110864.38,2,1,1,124532.9
480,1,44,10,129608.57,1,1,0,5472.7
850,0,46,3,0.0,2,1,1,187980.21
716,0,52,7,65971.61,2,1,0,14608.0
749,1,54,3,144768.94,1,1,0,93336.3
593,0,46,2,76597.79,1,1,1,54453.72
635,0,48,2,0.0,2,1,1,136551.25
581,1,38,1,133105.47,1,1,0,105732.9
710,0,37,5,0.0,2,1,0,115403.31
574,0,28,7,0.0,2,0,0,185660.3
620,1,22,0,0.0,1,1,0,32589.45
553,1,35,2,158584.28,2,1,0,43640.16
832,0,27,10,98590.25,1,1,0,30912.89
756,0,39,5,149363.12,2,1,1,109098.39
739,0,40,8,0.0,1,1,0,167030.51
666,0,40,2,0.0,2,0,0,36371.27
520,0,30,4,145222.99,2,0,0,145160.96
662,1,37,4,155187.3,1,1,0,48930.8
633,0,30,6,0.0,2,0,0,41642.29
802,0,39,7,120145.96,2,0,1,59497.01
596,0,27,2,151027.56,1,1,0,170320.58
540,1,41,3,0.0,2,1,0,121098.65
609,0,71,6,113317.1,1,1,0,108258.22
688,1,42,5,0.0,2,0,0,197602.29
751,0,36,6,169831.46,2,1,1,27758.36
655,0,51,3,0.0,2,0,1,15801.02
648,1,33,7,135310.41,2,0,1,171668.2
687,1,38,0,144450.58,1,0,1,137276.83
613,0,45,1,187841.99,2,1,1,147224.27
496,0,44,0,179356.28,2,1,0,2919.21
603,0,42,6,0.0,1,1,1,90437.87
671,0,31,6,0.0,2,1,1,15846.42
732,1,79,10,61811.23,1,1,1,104222.8
509,1,55,8,132387.91,2,1,1,170360.11
592,0,41,2,138734.94,1,1,0,90020.74
712,1,52,9,0.0,1,1,1,117977.45
720,1,31,4,141356.47,1,0,0,137985.69
685,1,39,9,0.0,2,1,1,18826.06
774,1,26,2,93844.69,1,1,0,28415.36
682,0,64,10,128306.7,1,0,1,66040.83
641,1,37,6,0.0,2,1,0,45309.24
746,0,25,3,104833.79,1,0,0,71911.3
557,1,68,2,100194.44,1,1,1,38596.34
603,1,44,6,108122.39,2,1,0,108488.33
645,0,38,7,59568.57,1,1,1,167723.25
637,1,40,9,154309.67,1,1,1,125334.16
616,1,41,10,113220.2,2,1,1,114072.91
632,0,35,2,150561.03,2,0,0,64722.61
631,0,32,2,146810.99,2,1,1,180990.29
683,1,56,7,50911.21,3,0,0,97629.31
630,1,34,9,0.0,2,1,1,114006.35
477,0,24,2,95675.62,2,0,0,162699.7
604,0,42,10,166031.45,1,1,0,98293.14
484,1,40,7,106901.42,2,0,0,118045.98
743,0,32,6,140348.56,2,1,1,163254.39
686,0,41,10,0.0,1,1,1,144272.71
624,1,38,7,123906.55,1,1,0,135096.78
532,1,43,9,0.0,2,0,0,190573.91
653,0,74,0,121276.32,1,1,1,160348.31
557,1,34,3,0.0,1,0,1,123427.98
645,0,55,1,133676.65,1,0,1,17095.49
569,0,51,3,0.0,3,1,0,75084.96
768,1,25,0,78396.08,1,1,1,8316.19
690,0,36,6,110480.48,1,0,0,81292.33
604,0,25,5,157780.84,2,1,1,58426.81
673,1,59,0,178058.06,2,0,1,21063.71
850,1,41,8,60880.68,1,1,0,31825.84
725,0,31,6,0.0,1,0,0,61326.43
644,1,33,7,174571.36,1,0,1,43943.09
703,1,29,9,0.0,2,1,0,50679.48
783,1,40,6,0.0,2,1,0,109742.55
748,1,38,4,115221.36,1,0,1,70956.75
645,0,68,9,0.0,4,1,1,176353.87
850,1,33,7,140956.99,1,0,0,3510.18
524,0,31,8,107818.63,1,1,0,199725.39
501,1,24,4,130806.42,2,1,0,80241.14
670,1,33,8,126679.69,1,1,1,39451.09
593,1,43,9,0.0,2,1,1,76357.43
709,1,34,4,148375.19,2,1,1,21521.38
667,0,38,6,144432.04,1,1,1,73963.17
821,0,40,1,0.0,2,1,0,194273.12
675,1,49,8,135133.39,1,0,1,179521.24
693,1,44,5,124601.58,2,1,1,46998.13
726,0,56,2,105473.74,1,1,1,46044.7
666,0,36,3,129118.5,2,0,0,139435.12
568,0,47,7,0.0,2,1,1,45978.39
585,1,40,7,0.0,2,0,0,146156.98
625,0,52,2,79468.96,1,1,1,84606.03
668,0,46,7,161806.09,1,1,1,173052.19
667,1,56,2,168883.08,1,0,1,18897.78
602,0,35,8,0.0,2,1,1,152843.53
700,1,31,7,0.0,2,0,1,145151.96
580,0,39,9,128362.59,1,1,0,86044.98
606,1,36,5,190479.48,2,0,0,179351.89
631,0,34,4,124379.14,1,1,0,106892.91
461,0,74,1,186445.31,2,1,1,196767.83
600,0,39,5,0.0,2,0,0,118272.07
632,1,44,3,107764.75,1,1,0,185667.72
805,0,33,3,105663.56,2,0,1,33330.89
701,0,33,7,123870.07,1,1,0,97794.71
679,1,35,1,110245.13,1,1,1,178291.09
582,0,29,0,0.0,1,1,1,84012.81
729,1,30,9,0.0,2,1,0,151869.35
850,0,41,5,0.0,2,1,1,34827.43
667,0,42,10,64404.26,2,0,0,26022.37
443,1,36,6,70438.01,2,0,1,56937.43
646,1,39,6,121681.91,2,0,1,61793.47
781,1,33,3,0.0,2,1,1,42556.33
810,1,33,6,0.0,2,1,1,77965.67
521,0,39,3,146408.68,1,0,0,72993.67
607,0,25,4,121166.89,1,0,1,115288.24
704,1,42,8,129735.3,2,1,1,179565.57
850,0,26,4,62610.96,2,0,1,179365.1
737,1,35,0,133377.8,1,0,1,64050.19
682,0,43,7,111094.05,2,1,1,64679.3
520,1,32,5,110029.77,1,1,0,56246.69
704,1,37,4,0.0,2,0,0,25684.93
775,1,51,2,123783.25,1,1,1,134901.57
741,0,35,1,0.0,2,1,0,36557.55
681,1,67,7,0.0,2,0,1,163714.92
807,1,33,10,101952.97,2,1,0,178153.65
523,1,34,2,161588.89,1,1,1,51358.66
558,0,47,9,0.0,2,1,0,103787.28
494,1,37,5,107106.33,2,1,0,172063.09
710,0,38,4,0.0,2,1,1,136390.88
758,0,35,5,0.0,2,0,0,100365.51
727,1,37,9,101191.83,1,1,1,34551.35
639,0,35,1,103015.12,2,1,1,139094.12
644,1,49,10,0.0,2,1,1,145089.64
796,1,39,5,86350.87,2,0,0,105080.53
615,1,64,0,81564.1,2,0,1,35896.09
613,0,51,7,147262.11,1,1,1,53630.9
850,1,43,7,0.0,2,1,1,173851.11
570,0,36,3,0.0,2,1,0,92118.75
717,0,36,2,99472.76,2,1,0,94274.72
788,0,70,1,0.0,2,1,1,41610.62
700,0,37,7,0.0,2,1,0,17040.82
714,1,29,9,0.0,2,1,0,129192.55
422,0,54,4,0.0,2,1,1,7166.71
738,1,31,9,82674.15,1,1,0,41970.72
771,0,67,8,0.0,2,1,1,51219.8
629,1,41,10,150148.51,1,0,0,6936.27
752,0,45,3,105426.5,2,0,1,89773.45
716,1,31,8,109578.04,2,1,1,51503.51
744,0,30,1,124037.28,1,1,1,142210.94
635,1,31,1,0.0,2,1,0,135382.23
745,1,21,4,137910.45,1,1,1,177235.23
629,0,37,10,99546.25,3,0,1,25136.95
637,1,30,1,122185.53,1,1,0,102566.46
693,0,43,4,152341.55,1,1,0,9241.78
513,1,29,10,0.0,2,0,1,25514.77
850,1,43,5,129305.09,2,0,1,19244.58
539,1,20,0,83459.86,1,1,1,146752.67
